# Observation File: data_collection.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: outlet discharge [mol d^-1]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface_star-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: total evaporation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface_star-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface_star-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface_star-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface_star-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface_star-water_content_column
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface_star-water_content_snow
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface air temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface_star-air_temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface ALT average temperature [K]
# Region: surface domain
# Reduction: average
# Variable: surface_star-alt_avg_temp
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface thaw depth min [m]
# Region: surface domain
# Reduction: minimum
# Variable: surface_star-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface thaw depth max [m]
# Region: surface domain
# Reduction: maximum
# Variable: surface_star-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water table [m]
# Region: surface domain
# Reduction: average
# Variable: surface_star-water_table
# Number of Vectors: 1
# =============================================================================
"time [d]","outlet discharge [mol d^-1]","total evaporation [m d^-1]","snow precipitation [m d^-1]","rain precipitation [m d^-1]","surface water content [mol]","subsurface water content [mol]","snow water content [mol]","surface air temperature [K]","surface ALT average temperature [K]","surface thaw depth min [m]","surface thaw depth max [m]","surface water table [m]"
2.550000000000e+01,0.000000000000e+00,-6.267798277787e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192838e+09,1.381249891523e+02,2.480372042785e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
2.650000000000e+01,0.000000000000e+00,-6.233660814052e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192841e+09,1.433569137665e+02,2.480309527488e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
2.750000000000e+01,0.000000000000e+00,-6.213890356520e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192843e+09,1.485734719525e+02,2.480474518861e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
2.850000000000e+01,0.000000000000e+00,-6.205185833179e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192844e+09,1.537832726605e+02,2.480759246698e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
2.950000000000e+01,0.000000000000e+00,-6.206076494736e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192846e+09,1.589937675751e+02,2.481129133523e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
3.050000000000e+01,0.000000000000e+00,-6.195916658165e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192847e+09,1.641963925484e+02,2.481487772962e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
3.150000000000e+01,0.000000000000e+00,-6.202771271439e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192849e+09,1.694043517052e+02,2.481707603552e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
3.250000000000e+01,0.000000000000e+00,-6.230772684630e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192850e+09,1.746340362069e+02,2.481945614785e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
3.350000000000e+01,0.000000000000e+00,-6.244616300739e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192851e+09,1.798744485474e+02,2.482261872895e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
3.450000000000e+01,0.000000000000e+00,-6.263866890871e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192852e+09,1.851297977097e+02,2.482714185450e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
3.550000000000e+01,0.000000000000e+00,-6.297502015710e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192852e+09,1.904112191344e+02,2.483353500037e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
3.650000000000e+01,0.000000000000e+00,-6.303865836079e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192853e+09,1.956975817878e+02,2.484002855424e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
3.750000000000e+01,0.000000000000e+00,-6.297876910142e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192854e+09,2.009793117115e+02,2.484477914531e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
3.850000000000e+01,0.000000000000e+00,-6.310576260483e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192855e+09,2.062709048704e+02,2.484764981697e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
3.950000000000e+01,0.000000000000e+00,-6.328077453418e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192855e+09,2.115760732470e+02,2.484951570360e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
4.050000000000e+01,0.000000000000e+00,-6.352840388335e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192856e+09,2.169004502504e+02,2.485134985183e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
4.150000000000e+01,0.000000000000e+00,-6.372544432974e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192856e+09,2.222401010944e+02,2.485550163354e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
4.250000000000e+01,0.000000000000e+00,-6.372683674076e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192857e+09,2.275798507584e+02,2.486148479471e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
4.350000000000e+01,0.000000000000e+00,-6.369442834454e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192857e+09,2.329170910348e+02,2.486596671112e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
4.450000000000e+01,0.000000000000e+00,-6.369716484216e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192858e+09,2.382545558304e+02,2.486980888467e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
4.550000000000e+01,0.000000000000e+00,-6.384423830586e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192858e+09,2.436034192772e+02,2.487406573014e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
4.650000000000e+01,0.000000000000e+00,-6.388681225688e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192858e+09,2.489555894208e+02,2.487756052793e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
4.750000000000e+01,0.000000000000e+00,-6.393075981936e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192859e+09,2.543111694426e+02,2.488042398474e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
4.850000000000e+01,0.000000000000e+00,-6.405532443624e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192859e+09,2.596764123503e+02,2.488243902593e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
4.950000000000e+01,0.000000000000e+00,-6.428019158815e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192859e+09,2.650590949537e+02,2.488317681052e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
5.050000000000e+01,0.000000000000e+00,-6.454976735596e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192860e+09,2.704626859900e+02,2.488236317515e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
5.150000000000e+01,0.000000000000e+00,-6.460115031712e-03,5.130380068327e-04,0.000000000000e+00,0.000000000000e+00,1.161264192860e+09,2.758702644045e+02,2.488051513397e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.161544841139e+00
