# Observation File: surface-outlet.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-component_concentration
# Region: surface outlet
# Reduction: point
# Variable: surface-total_component_concentration
# Number of Vectors: 6
# =============================================================================
"time [s]" "surface-component_concentration DOM1" "surface-component_concentration O2(aq)" "surface-component_concentration NO3-" "surface-component_concentration HCO3-" "surface-component_concentration H+" "surface-component_concentration N2(aq)"
1.260000000000e+03 9.137530699392e-05 2.475538079556e-04 1.888293148949e-06 2.168870457997e-05 1.680985492744e-05 2.506978964695e-02
1.280000000000e+03 9.121119995190e-05 2.472611145657e-04 1.886736164264e-06 2.175972106248e-05 1.688488610955e-05 2.504914853695e-02
1.300000000000e+03 9.104673237627e-05 2.469682955638e-04 1.885182002466e-06 2.183126813107e-05 1.696044052256e-05 2.502854513305e-02
1.320000000000e+03 9.088195492555e-05 2.466754011649e-04 1.883630659767e-06 2.190329480745e-05 1.703646720351e-05 2.500797936436e-02
1.340000000000e+03 9.071691775877e-05 2.463824811349e-04 1.882082132991e-06 2.197575064930e-05 1.711291572384e-05 2.498745116808e-02
1.360000000000e+03 9.055167004246e-05 2.460895843098e-04 1.880536419701e-06 2.204858625206e-05 1.718973669078e-05 2.496696049148e-02
1.380000000000e+03 9.038625946812e-05 2.457967581273e-04 1.878993518349e-06 2.212175374159e-05 1.726688223952e-05 2.494650729408e-02
1.400000000000e+03 9.022073180502e-05 2.455040481941e-04 1.877453428441e-06 2.219520723202e-05 1.734430649065e-05 2.492609155010e-02
1.420000000000e+03 9.005513051180e-05 2.452114979135e-04 1.875916150710e-06 2.226890322566e-05 1.742196594947e-05 2.490571325092e-02
1.440000000000e+03 8.988949642474e-05 2.449191481898e-04 1.874381687300e-06 2.234280093620e-05 1.749981982879e-05 2.488537240772e-02
1.460000000000e+03 8.972386753443e-05 2.446270372203e-04 1.872850041942e-06 2.241686252343e-05 1.757783028303e-05 2.486506905391e-02
1.480000000000e+03 8.955827885446e-05 2.443352003789e-04 1.871321220130e-06 2.249105323503e-05 1.765596254962e-05 2.484480324755e-02
1.500000000000e+03 8.939276237876e-05 2.440436701857e-04 1.869795229261e-06 2.256534145822e-05 1.773418500028e-05 2.482457507327e-02
1.520000000000e+03 8.922734711792e-05 2.437524763524e-04 1.868272078755e-06 2.263969869031e-05 1.781246911120e-05 2.480438464385e-02
1.540000000000e+03 8.906205920093e-05 2.434616458903e-04 1.866751780117e-06 2.271409944069e-05 1.789078936493e-05 2.478423210101e-02
1.560000000000e+03 8.889692202672e-05 2.431712032606e-04 1.865234346945e-06 2.278852107941e-05 1.796912309892e-05 2.476411761545e-02
1.580000000000e+03 8.873195644912e-05 2.428811705542e-04 1.863719794854e-06 2.286294364747e-05 1.804745031604e-05 2.474404138580e-02
1.600000000000e+03 8.856718098074e-05 2.425915676804e-04 1.862208141318e-06 2.293734964289e-05 1.812575347111e-05 2.472400363642e-02
1.620000000000e+03 8.840261200244e-05 2.423024125548e-04 1.860699405400e-06 2.301172379487e-05 1.820401724573e-05 2.470400461372e-02
1.640000000000e+03 8.823826396826e-05 2.420137212714e-04 1.859193607376e-06 2.308605283564e-05 1.828222832116e-05 2.468404458103e-02
1.660000000000e+03 8.807414959755e-05 2.417255082529e-04 1.857690768223e-06 2.316032527753e-05 1.836037515672e-05 2.466412381179e-02
1.680000000000e+03 8.791028004918e-05 2.414377863707e-04 1.856190908983e-06 2.323453120039e-05 1.843844777891e-05 2.464424258100e-02
1.700000000000e+03 8.774666507339e-05 2.411505670333e-04 1.854694049992e-06 2.330866205273e-05 1.851643758453e-05 2.462440115485e-02
