# Observation File: outlet.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: subsurface-component_concentration
# Region: outlet
# Functional: point
# Variable: total_component_concentration
# Number of Vectors: 2
# =============================================================================
"time [s]" "subsurface-component_concentration"
1.134000000000e+04 1.139001277532e-02 1.362762422166e+01
1.140000000000e+04 2.292779037757e-02 1.638713417961e+01
1.146000000000e+04 4.638333082641e-02 1.951603609694e+01
1.152000000000e+04 9.523488130848e-02 2.303320497699e+01
1.158000000000e+04 1.799350384647e-01 2.695442817041e+01
1.164000000000e+04 3.125726014457e-01 3.129200764405e+01
1.170000000000e+04 5.079173959686e-01 3.605444018560e+01
1.176000000000e+04 7.836931668017e-01 4.124617766232e+01
1.182000000000e+04 1.160787075687e+00 4.686747196918e+01
1.188000000000e+04 1.663391708215e+00 5.291430672341e+01
1.194000000000e+04 2.319072545710e+00 5.937841502939e+01
1.200000000000e+04 3.158751135925e+00 6.624737996850e+01
1.206000000000e+04 4.216586647105e+00 7.350481203561e+01
1.212000000000e+04 5.529778072265e+00 8.113059580572e+01
1.218000000000e+04 7.138241269554e+00 8.910119628432e+01
1.224000000000e+04 9.084184404786e+00 9.739001447638e+01
1.230000000000e+04 1.141157707204e+01 1.059677809963e+02
1.236000000000e+04 1.416551848920e+01 1.148029763995e+02
1.242000000000e+04 1.739151414536e+01 1.238622671986e+02
1.248000000000e+04 2.113467415749e+01 1.331109471754e+02
1.254000000000e+04 2.543885017847e+01 1.425133745650e+02
1.260000000000e+04 3.034573081748e+01 1.520333968550e+02
1.266000000000e+04 3.589391804330e+01 1.616347562023e+02
1.272000000000e+04 4.211800881537e+01 1.712814697540e+02
1.278000000000e+04 4.904770712435e+01 1.809381804817e+02
1.284000000000e+04 5.670699166908e+01 1.905704754019e+02
1.290000000000e+04 6.511336347868e+01 2.001451692088e+02
1.296000000000e+04 7.427719615520e+01 2.096305526089e+02
1.302000000000e+04 8.420120888879e+01 2.189966057306e+02
1.308000000000e+04 9.488007899024e+01 2.282151771433e+02
1.314000000000e+04 1.063002067717e+02 2.372601294491e+02
1.320000000000e+04 1.184396413432e+02 2.461074531169e+02
1.326000000000e+04 1.312681708574e+02 2.547353501570e+02
1.332000000000e+04 1.447475785859e+02 2.631242886364e+02
1.338000000000e+04 1.588320567571e+02 2.712570311687e+02
1.344000000000e+04 1.734687686708e+02 2.791186433911e+02
1.350000000000e+04 1.885985456970e+02 2.866964815437e+02
1.356000000000e+04 2.041567002649e+02 2.939801569323e+02
1.362000000000e+04 2.200739422150e+02 3.009614868318e+02
1.368000000000e+04 2.362773853005e+02 3.076344292306e+02
1.374000000000e+04 2.526915452509e+02 3.139949839328e+02
1.380000000000e+04 2.692394080086e+02 3.200410834372e+02
1.386000000000e+04 2.858435094189e+02 3.257725292639e+02
1.392000000000e+04 3.024270508246e+02 3.311908643878e+02
1.398000000000e+04 3.189146642384e+02 3.362992353508e+02
1.404000000000e+04 3.352338881465e+02 3.411022757328e+02
1.410000000000e+04 3.513150554761e+02 3.456060633360e+02
1.416000000000e+04 3.670932026322e+02 3.498178010768e+02
1.422000000000e+04 3.825082250053e+02 3.537453395876e+02
1.428000000000e+04 3.975054232391e+02 3.573980490324e+02
1.434000000000e+04 4.120359327475e+02 3.607861124268e+02
1.440000000000e+04 4.260570344309e+02 3.639203459220e+02
1.446000000000e+04 4.395323475997e+02 3.668103047155e+02
1.452000000000e+04 4.524319089173e+02 3.694774567660e+02
1.458000000000e+04 4.647321436414e+02 3.719439522522e+02
1.464000000000e+04 4.764157375217e+02 3.741873608991e+02
1.470000000000e+04 4.874714193875e+02 3.762065919492e+02
1.476000000000e+04 4.978936657015e+02 3.780098550382e+02
1.482000000000e+04 5.076823391628e+02 3.796556199300e+02
1.488000000000e+04 5.168422738884e+02 3.811597147961e+02
1.494000000000e+04 5.253828197771e+02 3.825600298819e+02
1.500000000000e+04 5.333173582691e+02 3.838515730963e+02
1.506000000000e+04 5.406628012765e+02 3.850926883831e+02
1.512000000000e+04 5.474390842795e+02 3.861729262397e+02
1.518000000000e+04 5.536686633065e+02 3.870788511804e+02
1.524000000000e+04 5.593760245414e+02 3.878518465065e+02
1.530000000000e+04 5.645872145896e+02 3.885214504893e+02
1.536000000000e+04 5.693293973167e+02 3.891080192911e+02
1.542000000000e+04 5.736304409513e+02 3.896254269893e+02
1.548000000000e+04 5.775185427268e+02 3.900832938402e+02
1.554000000000e+04 5.810218896994e+02 3.904886151730e+02
1.560000000000e+04 5.841683583536e+02 3.908468470136e+02
1.566000000000e+04 5.869852546300e+02 3.911625710982e+02
1.572000000000e+04 5.894990904882e+02 3.914398670545e+02
1.578000000000e+04 5.917354272727e+02 3.916824988299e+02
1.584000000000e+04 5.937186867236e+02 3.918939912568e+02
1.590000000000e+04 5.954720767349e+02 3.920776520335e+02
1.596000000000e+04 5.970174873718e+02 3.922365688110e+02
1.602000000000e+04 5.983754272668e+02 3.923736001604e+02
1.608000000000e+04 5.995649192132e+02 3.924913665218e+02
1.614000000000e+04 6.006037635110e+02 3.925922540780e+02
1.620000000000e+04 6.015080885319e+02 3.926784111447e+02
1.626000000000e+04 6.022933405486e+02 3.927517715938e+02
1.632000000000e+04 6.029724111384e+02 3.928140417818e+02
1.638000000000e+04 6.035579503905e+02 3.928667443773e+02
1.644000000000e+04 6.040613817858e+02 3.929112206970e+02
1.650000000000e+04 6.044929719391e+02 3.929486466158e+02
1.656000000000e+04 6.048619066752e+02 3.929800484782e+02
1.662000000000e+04 6.051763702127e+02 3.930063185317e+02
1.668000000000e+04 6.054436250740e+02 3.930282295704e+02
1.674000000000e+04 6.056700909490e+02 3.930464485998e+02
1.680000000000e+04 6.058614211671e+02 3.930615494170e+02
1.686000000000e+04 6.060225760183e+02 3.930740240840e+02
1.692000000000e+04 6.061578922530e+02 3.930842933035e+02
1.698000000000e+04 6.062711482474e+02 3.930927157138e+02
1.704000000000e+04 6.063656245591e+02 3.930995961603e+02
1.710000000000e+04 6.064441595459e+02 3.931051929959e+02
1.716000000000e+04 6.065092003480e+02 3.931097245289e+02
1.722000000000e+04 6.065628508371e+02 3.931133747940e+02
