# Observation File: breakthrough_curve.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-component_concentration
# Region: observation point
# Reduction: point
# Variable: surface-total_component_concentration
# Number of Vectors: 2
# =============================================================================
"time [s]" "surface-component_concentration Tracer1" "surface-component_concentration Tracer2"
2.232000000000e+04 9.999999999824e-01 9.999999999824e-01
2.244000000000e+04 9.999999999871e-01 9.999999999871e-01
2.256000000000e+04 9.999999999905e-01 9.999999999905e-01
2.268000000000e+04 9.999999999930e-01 9.999999999930e-01
2.280000000000e+04 9.999999999949e-01 9.999999999949e-01
2.292000000000e+04 9.999999999962e-01 9.999999999962e-01
2.304000000000e+04 9.999999999972e-01 9.999999999972e-01
2.316000000000e+04 9.999999999980e-01 9.999999999980e-01
2.328000000000e+04 9.999999999985e-01 9.999999999985e-01
2.340000000000e+04 9.999999999989e-01 9.999999999989e-01
2.352000000000e+04 9.999999999992e-01 9.999999999992e-01
2.364000000000e+04 9.999999999994e-01 9.999999999994e-01
2.376000000000e+04 9.999999999996e-01 9.999999999996e-01
2.388000000000e+04 9.999999999997e-01 9.999999999997e-01
2.400000000000e+04 9.999999999998e-01 9.999999999998e-01
2.412000000000e+04 9.999999999998e-01 9.999999999998e-01
2.424000000000e+04 9.999999999998e-01 9.999999999998e-01
2.436000000000e+04 9.999999999999e-01 9.999999999999e-01
2.448000000000e+04 9.999999999999e-01 9.999999999999e-01
2.460000000000e+04 9.999999999999e-01 9.999999999999e-01
2.472000000000e+04 9.999999999999e-01 9.999999999999e-01
2.484000000000e+04 9.999999999999e-01 9.999999999999e-01
2.496000000000e+04 1.000000000000e+00 1.000000000000e+00
2.508000000000e+04 1.000000000000e+00 1.000000000000e+00
2.520000000000e+04 1.000000000000e+00 1.000000000000e+00
2.532000000000e+04 1.000000000000e+00 1.000000000000e+00
2.544000000000e+04 1.000000000000e+00 1.000000000000e+00
2.556000000000e+04 1.000000000000e+00 1.000000000000e+00
2.568000000000e+04 1.000000000000e+00 1.000000000000e+00
2.580000000000e+04 1.000000000000e+00 1.000000000000e+00
2.592000000000e+04 1.000000000000e+00 1.000000000000e+00
2.604000000000e+04 1.000000000000e+00 1.000000000000e+00
2.616000000000e+04 1.000000000000e+00 1.000000000000e+00
2.628000000000e+04 1.000000000000e+00 1.000000000000e+00
2.640000000000e+04 1.000000000000e+00 1.000000000000e+00
2.652000000000e+04 1.000000000000e+00 1.000000000000e+00
2.664000000000e+04 1.000000000000e+00 1.000000000000e+00
2.676000000000e+04 1.000000000000e+00 1.000000000000e+00
2.688000000000e+04 1.000000000000e+00 1.000000000000e+00
2.700000000000e+04 1.000000000000e+00 1.000000000000e+00
2.712000000000e+04 1.000000000000e+00 1.000000000000e+00
2.724000000000e+04 1.000000000000e+00 1.000000000000e+00
2.736000000000e+04 1.000000000000e+00 1.000000000000e+00
2.748000000000e+04 1.000000000000e+00 1.000000000000e+00
2.760000000000e+04 1.000000000000e+00 1.000000000000e+00
2.772000000000e+04 1.000000000000e+00 1.000000000000e+00
2.784000000000e+04 1.000000000000e+00 1.000000000000e+00
2.796000000000e+04 1.000000000000e+00 1.000000000000e+00
2.808000000000e+04 1.000000000000e+00 1.000000000000e+00
2.820000000000e+04 1.000000000000e+00 1.000000000000e+00
2.832000000000e+04 1.000000000000e+00 1.000000000000e+00
2.844000000000e+04 1.000000000000e+00 1.000000000000e+00
2.856000000000e+04 1.000000000000e+00 1.000000000000e+00
2.868000000000e+04 1.000000000000e+00 1.000000000000e+00
2.880000000000e+04 1.000000000000e+00 1.000000000000e+00
2.892000000000e+04 1.000000000000e+00 1.000000000000e+00
2.904000000000e+04 1.000000000000e+00 1.000000000000e+00
2.916000000000e+04 1.000000000000e+00 1.000000000000e+00
2.928000000000e+04 1.000000000000e+00 1.000000000000e+00
2.940000000000e+04 1.000000000000e+00 1.000000000000e+00
2.952000000000e+04 1.000000000000e+00 1.000000000000e+00
2.964000000000e+04 1.000000000000e+00 1.000000000000e+00
2.976000000000e+04 1.000000000000e+00 1.000000000000e+00
2.988000000000e+04 1.000000000000e+00 1.000000000000e+00
3.000000000000e+04 1.000000000000e+00 1.000000000000e+00
3.012000000000e+04 1.000000000000e+00 1.000000000000e+00
3.024000000000e+04 1.000000000000e+00 1.000000000000e+00
3.036000000000e+04 1.000000000000e+00 1.000000000000e+00
3.048000000000e+04 1.000000000000e+00 1.000000000000e+00
3.060000000000e+04 1.000000000000e+00 1.000000000000e+00
3.072000000000e+04 1.000000000000e+00 1.000000000000e+00
